strain	originating_lab	submitting_lab	author
A/duck/Bangladesh/17D2182/2023	Icddr,b International Centre For Diarrhoeal Disease Research, Bangladesh	Centers For Disease Control And Prevention	Chowdury, S.; Rahman, M.Z.; Hossain, M. E.; Davis, T.; Di, H.; Johns, J.; Pusch, E.; Hatta, Y.; Cui, D.; De La Cruz, J.;Johnson, M.; Hatta, Y.; Jang, Y.;'
A/duck/Bangladesh/CE11309DB12DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11309DB13DUC/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11309DB13DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/Victoria/149/2024	Royal Chidrens Hospital	Who Collaborating Centre For Reference And Research On Influenza	Deng,Y-M; Barr,I; Spirason,N;Iannello,P;Lau,H;Dong,X;Chanthalavanh,P;Lay,O;Edwards,S;Hirankitti,A;Dapat,C
A/India/MangalgiriNIV25594/2025	Icmr National Institute Of Virology	Icmr National Institute Of Virology	?
A/quail/Bangladesh/CDILIV54/2025	Central Disease Investigation Laboratory, Department Of Livestock Services		Hayat,S., Badhy,S., Ferdows,S., Ali,Y., Kundu,A.K., Pramanik,P., Chowdhury,M.T.A., Sufian,M.A., Islam,M.R. and Chowdhury,M.G.A.
A/chicken/Jashore/CDILIV55/2025	Central Disease Investigation Laboratory, Department Of Livestock Services		Hayat,S., Badhy,S., Ferdows,S., Ali,Y., Kundu,A.K., Pramanik,P., Chowdhury,M.T.A., Sufian,M.A., Islam,M.R. and Chowdhury,M.G.A.
A/chicken/Bangladesh/CDILIV58/2025	Central Disease Investigation Laboratory, Department Of Livestock Services		Hayat,S., Badhy,S., Ferdows,S., Ali,Y., Kundu,A.K., Pramanik,P., Chowdhury,M.T.A., Sufian,M.A., Islam,M.R. and Chowdhury,M.G.A.
A/Bangladesh/Khulna/IEDCRicddrbIC1/2025	"Iedcr Icddr,b "	Institute Of Epidemiology, Disease Control & Research (iedcr)	Manjur Hossain Khan Jony, Mst. Noorjahan Begum, Md. Shaheen Alam, Shah Niaz Md. Rubaid Anwar,Md. Abdul Aleem, Nur-E-Alam, Rashedul Hassan,GA Chowdhury, Monalisa, Sukesh C. Badhy, Ahmed Nawsher Alam, Fahmida Chowdhury, Mustafizur Rahman, Tahmina Shirin.
