base	entropy
1	0.016
2	0.025
3	0.017
4	0.008
5	0.005
6	0.005
7	0.003
8	0.003
9	0.055
10	0.212
11	0.015
12	0.392
13	0.003
14	0.131
16	0.060
17	0.165
18	0.003
19	0.053
20	0.020
21	0.020
25	0.199
26	0.025
27	0.270
28	0.015
29	0.125
30	0.234
32	0.020
33	0.011
34	0.197
35	0.032
36	0.241
37	0.044
39	0.746
40	0.092
42	0.128
43	0.178
45	0.009
46	0.015
47	0.003
48	0.007
49	0.084
50	0.342
51	0.050
52	0.549
53	0.076
54	0.233
55	0.058
56	0.162
57	0.023
58	0.067
60	0.019
62	0.048
63	0.274
64	0.130
65	0.020
66	0.049
67	0.019
69	0.186
72	0.046
73	0.005
74	0.003
75	0.213
78	0.081
81	0.013
82	0.008
84	0.003
87	0.029
90	0.128
93	0.235
96	0.005
99	0.424
102	0.190
103	0.003
105	0.083
108	0.027
109	0.058
110	0.005
111	0.138
112	0.009
114	0.690
117	0.005
120	0.029
123	0.266
126	0.016
132	0.203
134	0.003
135	0.129
138	0.027
141	0.374
144	0.511
147	0.085
150	0.013
152	0.007
153	0.135
154	0.007
156	0.148
157	0.003
158	0.019
159	0.005
160	0.050
162	0.024
164	0.003
165	0.007
166	0.014
168	0.155
170	0.003
171	0.307
173	0.010
174	0.166
175	0.285
176	0.024
177	0.015
180	0.016
181	0.003
183	0.267
184	0.008
185	0.003
186	0.017
188	0.022
189	0.142
192	0.736
195	0.671
196	0.014
198	0.655
199	0.629
201	0.113
202	0.003
203	0.005
204	0.007
207	0.195
210	0.022
211	0.005
213	0.128
216	0.694
217	0.020
219	0.067
220	0.020
222	0.043
223	0.019
225	0.050
226	0.011
227	0.013
228	0.243
229	0.017
230	0.013
231	0.690
234	0.661
236	0.003
237	0.011
238	0.018
240	0.028
241	0.003
242	0.003
243	0.198
246	0.046
252	0.247
255	0.045
258	0.099
261	0.260
264	0.013
265	0.128
266	0.019
267	0.125
270	0.209
271	0.003
273	0.023
276	0.035
279	0.011
281	0.030
282	0.034
283	0.180
284	0.188
285	0.197
287	0.003
288	0.460
291	0.295
292	0.003
294	0.025
300	0.735
303	0.041
306	0.024
309	0.184
312	0.028
313	0.332
314	0.230
315	0.005
316	0.123
317	0.528
318	0.403
319	0.021
320	0.011
321	0.678
322	0.003
323	0.003
324	0.108
325	0.126
326	0.107
327	0.277
328	0.010
330	0.103
331	0.003
332	0.488
333	0.005
336	0.024
339	0.020
342	0.049
345	0.081
348	0.040
349	0.007
350	0.193
351	0.190
352	0.181
354	0.032
356	0.003
357	0.078
358	0.010
360	0.206
363	0.450
366	0.022
369	0.098
370	0.237
372	0.150
375	0.046
378	0.057
379	0.704
381	0.231
382	0.048
384	0.035
387	0.019
388	0.003
389	0.003
390	0.130
393	0.123
396	0.192
398	0.011
399	0.460
403	0.003
405	0.039
408	0.255
409	0.009
410	0.035
411	0.195
412	0.043
413	0.739
414	0.389
415	0.003
417	0.053
418	0.020
420	0.678
421	0.003
423	0.016
425	0.033
426	0.226
427	0.081
428	0.204
429	0.118
432	0.265
433	0.003
436	0.246
437	0.100
438	0.019
439	0.145
441	0.025
444	0.010
447	0.034
448	0.248
450	0.185
451	0.003
452	0.005
453	0.013
454	0.177
455	0.012
456	0.195
459	0.084
460	0.138
461	0.007
462	0.142
465	0.208
466	0.014
468	0.560
469	0.005
471	0.213
474	0.017
475	0.479
476	0.049
477	0.032
478	0.085
479	0.003
480	0.089
481	0.003
482	0.023
483	0.135
485	0.005
486	0.174
487	0.186
488	0.245
489	0.874
490	0.170
491	0.003
492	0.112
495	0.205
498	0.207
500	0.005
501	0.088
502	0.003
503	0.008
504	0.264
506	0.026
507	0.054
508	0.007
510	0.022
511	0.005
513	0.082
517	0.013
519	0.170
520	0.035
522	0.018
525	0.007
529	0.248
530	0.003
531	0.074
532	0.181
533	0.012
534	0.009
535	0.058
536	0.009
537	0.035
539	0.003
540	0.036
542	0.015
543	0.027
544	0.003
545	0.005
546	0.003
549	0.003
551	0.018
552	0.071
553	0.007
554	0.173
555	0.039
556	0.125
557	0.140
558	0.009
561	0.020
562	0.005
564	0.128
565	0.003
567	0.137
570	1.077
571	0.018
573	0.074
574	0.005
575	0.127
576	0.182
579	0.020
581	0.007
582	0.029
583	0.027
585	0.018
586	0.007
588	0.088
589	0.015
591	0.007
592	0.041
594	0.053
600	0.165
601	0.030
603	0.202
606	0.141
609	0.094
610	0.183
612	0.181
614	0.003
615	0.180
616	0.174
617	0.031
618	0.017
620	0.201
621	0.126
622	0.052
623	0.168
624	0.062
627	0.468
630	0.075
631	0.017
632	0.045
633	0.129
634	0.055
635	0.073
636	0.266
639	0.149
642	0.693
643	0.175
645	0.022
646	0.003
648	0.331
649	0.005
651	0.028
652	0.305
653	0.702
654	0.136
657	0.046
658	0.003
660	0.144
661	0.022
663	0.041
666	0.182
667	0.184
670	0.003
672	0.272
675	0.145
676	0.005
678	0.021
680	0.029
681	0.182
682	0.121
684	0.079
687	0.271
688	0.003
689	0.005
690	0.121
691	0.005
692	0.015
693	0.388
694	0.137
695	0.009
696	0.309
697	0.169
698	0.684
699	0.132
702	0.079
704	0.032
705	0.009
706	0.005
708	0.015
709	0.056
710	0.051
711	0.227
712	0.010
713	0.007
714	0.256
715	0.003
717	0.025
718	0.140
720	0.393
721	0.176
722	0.031
723	0.127
724	0.173
726	0.057
729	0.320
732	0.145
734	0.003
735	0.008
736	0.182
738	0.019
741	0.205
742	0.046
744	0.176
747	0.189
750	0.190
753	0.009
755	0.010
756	0.019
760	0.003
761	0.005
762	0.065
765	0.686
766	0.095
768	0.023
769	0.003
770	0.019
771	0.035
772	0.020
773	0.003
774	0.219
775	0.235
776	0.031
777	0.011
779	0.003
780	0.139
781	0.045
782	0.003
783	0.457
786	0.095
787	0.009
789	0.178
792	0.178
793	0.003
795	0.055
798	0.041
800	0.003
801	0.672
804	0.115
807	0.113
808	0.032
810	0.034
811	0.003
813	0.074
815	0.003
816	0.040
819	0.003
820	0.012
822	0.024
823	0.010
825	0.017
828	0.419
831	0.586
834	0.017
837	0.009
838	0.041
840	0.610
843	0.081
844	0.003
845	0.010
846	0.503
847	0.003
849	0.205
850	0.003
852	0.140
855	0.729
858	0.082
861	0.277
866	0.126
867	0.071
870	0.022
871	0.003
872	0.258
873	0.026
874	0.059
875	0.130
876	0.130
877	0.134
878	0.003
879	0.087
882	0.022
883	0.003
884	0.015
885	0.123
886	0.177
887	0.019
888	0.664
891	0.019
892	0.011
893	0.003
894	0.107
895	0.009
897	0.025
899	0.178
900	0.184
903	0.125
906	0.179
907	0.003
909	0.179
912	0.087
913	0.384
915	0.123
918	0.744
921	0.089
922	0.003
924	0.017
927	0.207
929	0.003
930	0.180
932	0.028
933	0.029
939	0.019
942	0.590
945	0.086
948	0.343
949	0.037
951	0.003
954	0.227
955	0.003
957	0.083
960	0.042
963	0.137
966	0.136
969	0.185
970	0.003
971	0.003
972	0.015
975	0.087
978	0.022
981	0.012
982	0.003
983	0.003
984	0.103
987	0.050
989	0.017
990	0.686
993	0.008
994	0.003
995	0.135
996	0.036
998	0.015
999	0.196
1000	0.013
1002	0.154
1003	0.011
1005	0.052
1008	0.003
1010	0.022
1011	0.201
1013	0.003
1014	0.192
1017	0.252
1020	0.044
1023	0.013
1026	0.022
1027	0.007
1028	0.312
1029	0.071
1030	0.003
1031	0.017
1032	0.019
1033	0.003
1034	0.207
1035	0.032
1037	0.097
1038	0.065
1039	0.003
1040	0.025
1041	0.147
1042	0.008
1043	0.431
1044	0.148
1047	0.386
1049	0.032
1052	0.053
1054	0.003
1056	0.046
1059	0.067
1062	0.850
1063	0.080
1065	0.110
1068	0.008
1071	0.198
1074	0.442
1075	0.003
1076	0.121
1077	0.005
1080	0.015
1083	0.239
1086	0.030
1089	0.007
1090	0.003
1092	0.440
1095	0.111
1098	0.137
1104	0.158
1107	0.093
1111	0.011
1113	0.199
1114	0.003
1116	0.009
1119	0.065
1121	0.003
1124	0.005
1125	0.013
1128	0.137
1130	0.003
1131	0.038
1134	0.476
1136	0.005
1137	0.184
1138	0.003
1139	0.011
1140	0.180
1144	0.003
1145	0.007
1146	0.168
1148	0.005
1149	0.044
1152	0.215
1154	0.003
1155	0.019
1158	0.221
1161	0.181
1163	0.007
1164	0.010
1167	0.737
1170	0.123
1173	0.040
1174	0.022
1176	0.065
1179	0.242
1182	0.212
1184	0.003
1187	0.032
1188	0.029
1191	0.129
1192	0.117
1194	0.029
1195	0.023
1197	0.239
1200	0.251
1201	0.050
1203	0.192
1205	0.012
1206	0.035
1208	0.003
1209	0.048
1212	0.037
1214	0.005
1215	0.154
1216	0.005
1217	0.005
1218	0.152
1221	0.196
1224	0.174
1227	0.070
1228	0.009
1233	0.140
1238	0.003
1239	0.012
1241	0.005
1242	0.117
1245	0.190
1248	0.081
1251	0.024
1254	0.200
1255	0.003
1256	0.003
1257	0.263
